,,MAPE,MAPE,MAE,MAE,RMSE,RMSE,MSE,MSE
,,mean,std,mean,std,mean,std,mean,std
n_steps_input,horizon,,,,,,,,
7,1,22.772,3.798,0.11,0.013,0.199,0.065,0.043,0.028
7,2,31.688,7.38,0.144,0.018,0.221,0.071,0.053,0.037
7,3,38.705,8.478,0.182,0.018,0.266,0.058,0.073,0.033
7,4,41.581,5.364,0.208,0.015,0.306,0.059,0.096,0.038
7,5,48.089,5.28,0.234,0.017,0.342,0.037,0.118,0.026
7,6,53.588,3.261,0.258,0.017,0.367,0.042,0.136,0.031
7,7,57.742,6.404,0.278,0.018,0.385,0.038,0.15,0.029
14,1,21.177,3.409,0.111,0.013,0.162,0.027,0.027,0.009
14,2,31.281,3.674,0.148,0.014,0.201,0.025,0.041,0.01
14,3,41.751,6.274,0.2,0.026,0.272,0.04,0.075,0.022
14,4,49.319,3.623,0.236,0.017,0.322,0.066,0.107,0.048
14,5,59.472,6.753,0.273,0.025,0.365,0.061,0.137,0.046
14,6,65.033,8.97,0.299,0.017,0.395,0.039,0.157,0.031
14,7,66.906,7.44,0.301,0.024,0.394,0.045,0.157,0.037
21,1,22.018,2.997,0.16,0.035,0.366,0.218,0.172,0.191
21,2,34.209,4.459,0.214,0.044,0.451,0.291,0.271,0.344
21,3,45.036,5.25,0.246,0.048,0.444,0.201,0.229,0.189
21,4,59.535,8.386,0.303,0.071,0.596,0.327,0.441,0.435
21,5,64.873,10.132,0.321,0.08,0.617,0.351,0.479,0.468
21,6,65.492,10.248,0.306,0.049,0.465,0.15,0.234,0.144
21,7,64.171,5.911,0.295,0.056,0.414,0.125,0.184,0.107
28,1,38.746,8.734,0.188,0.049,0.307,0.148,0.112,0.119
28,2,52.338,6.841,0.265,0.048,0.443,0.181,0.223,0.17
28,3,57.751,3.009,0.289,0.048,0.454,0.203,0.239,0.2
28,4,59.426,13.792,0.323,0.058,0.502,0.19,0.281,0.2
28,5,58.864,11.147,0.37,0.052,0.613,0.154,0.395,0.173
28,6,59.983,9.426,0.391,0.028,0.619,0.152,0.402,0.184
28,7,58.537,6.31,0.378,0.05,0.583,0.174,0.364,0.213
